,algo1,algo2,algo3,algo4,algo5,algo6
inst_0,0.5,60.0,60.0,60.0,60.0,60.0
inst_1,0.5,60.0,60.0,60.0,60.0,60.0
inst_2,0.5,60.0,60.0,60.0,60.0,60.0
inst_3,6.168039420400682,60.0,60.0,60.0,60.0,60.0
inst_4,18.05940051841698,60.0,60.0,60.0,56.76459962368109,60.0
inst_5,0.5,60.0,60.0,60.0,60.0,60.0
inst_6,0.5,60.0,60.0,60.0,60.0,60.0
inst_7,0.5,60.0,60.0,60.0,60.0,60.0
inst_8,12.241284982002213,60.0,60.0,60.0,60.0,60.0
inst_9,0.5,60.0,60.0,60.0,60.0,60.0
inst_10,0.5,60.0,60.0,60.0,60.0,60.0
inst_11,0.5,60.0,60.0,60.0,60.0,60.0
inst_12,12.666688308454919,60.0,60.0,60.0,60.0,60.0
inst_13,0.5,60.0,60.0,60.0,60.0,60.0
inst_14,9.457465797820426,60.0,60.0,60.0,60.0,60.0
inst_15,0.5,60.0,60.0,60.0,60.0,60.0
inst_16,0.4050725498194589,60.0,60.0,60.0,60.0,60.0
inst_17,0.5,60.0,60.0,60.0,60.0,60.0
inst_18,0.5,60.0,60.0,60.0,60.0,60.0
inst_19,0.5,60.0,60.0,60.0,60.0,60.0
inst_20,6.333032718764999,60.0,60.0,60.0,60.0,60.0
inst_21,0.5,60.0,60.0,60.0,39.75473519958206,60.0
inst_22,0.5,60.0,60.0,60.0,60.0,60.0
inst_23,0.5,60.0,60.0,60.0,60.0,60.0
inst_24,14.796123968070669,60.0,60.0,60.0,60.0,60.0
inst_25,0.5,60.0,60.0,60.0,60.0,60.0
inst_26,60.0,60.0,60.0,0.2494340109435303,60.0,60.0
inst_27,0.5,60.0,60.0,60.0,60.0,60.0
inst_28,0.5,60.0,60.0,60.0,60.0,60.0
inst_29,0.5,60.0,60.0,60.0,60.0,60.0
inst_30,2.1858861068801176,60.0,60.0,60.0,60.0,60.0
inst_31,11.248760783278216,60.0,60.0,60.0,60.0,60.0
inst_32,0.5,60.0,60.0,60.0,60.0,60.0
inst_33,0.5,60.0,60.0,60.0,60.0,60.0
inst_34,0.5,60.0,60.0,60.0,60.0,60.0
inst_35,60.0,60.0,60.0,60.0,2.7899834840292614,60.0
inst_36,9.38702932255234,60.0,60.0,60.0,60.0,60.0
inst_37,0.5,60.0,60.0,60.0,60.0,60.0
inst_38,0.5,60.0,60.0,60.0,60.0,60.0
inst_39,0.5,60.0,60.0,60.0,60.0,60.0
inst_40,0.5,60.0,60.0,60.0,60.0,60.0
inst_41,0.5,60.0,60.0,60.0,60.0,60.0
inst_42,1.3200806716934592,60.0,60.0,60.0,52.4765502940427,60.0
inst_43,0.5,60.0,60.0,60.0,60.0,60.0
inst_44,3.2421885714987884,60.0,60.0,60.0,60.0,60.0
inst_45,0.5,60.0,60.0,60.0,60.0,60.0
inst_46,0.5,60.0,60.0,60.0,60.0,60.0
inst_47,0.5,60.0,60.0,60.0,60.0,60.0
inst_48,0.5,60.0,60.0,60.0,60.0,60.0
inst_49,2.4319094363513205,60.0,60.0,60.0,57.53793953832806,60.0
inst_50,3.037115317917703,60.0,60.0,60.0,60.0,60.0
inst_51,5.7522119435069605,60.0,60.0,60.0,60.0,60.0
inst_52,0.5,60.0,60.0,60.0,60.0,60.0
inst_53,0.5,60.0,60.0,60.0,60.0,60.0
inst_54,0.5,60.0,60.0,60.0,60.0,60.0
inst_55,60.0,60.0,60.0,60.0,49.00929127264569,60.0
inst_56,0.5,60.0,60.0,60.0,60.0,60.0
inst_57,0.5,60.0,60.0,60.0,60.0,60.0
inst_58,0.5,60.0,60.0,60.0,60.0,60.0
inst_59,0.5,60.0,60.0,60.0,60.0,60.0
inst_60,9.624377946823014,60.0,60.0,60.0,60.0,60.0
inst_61,0.5,60.0,60.0,60.0,60.0,60.0
inst_62,0.5,60.0,60.0,60.0,60.0,60.0
inst_63,0.5,60.0,60.0,60.0,0.4014649823883421,60.0
inst_64,0.5,60.0,60.0,60.0,60.0,60.0
inst_65,0.5,60.0,60.0,60.0,60.0,60.0
inst_66,0.5,60.0,60.0,60.0,60.0,60.0
inst_67,0.5,60.0,60.0,60.0,60.0,60.0
inst_68,0.5,60.0,60.0,60.0,60.0,60.0
inst_69,0.5,1.5615588211597144,60.0,60.0,60.0,60.0
inst_70,0.5,60.0,60.0,60.0,60.0,60.0
inst_71,0.5,60.0,60.0,60.0,60.0,60.0
inst_72,0.5,60.0,1.079054127002959,60.0,60.0,60.0
inst_73,10.288238347621963,60.0,60.0,60.0,60.0,60.0
inst_74,0.5,60.0,60.0,60.0,60.0,60.0
inst_75,0.5,60.0,60.0,60.0,60.0,60.0
inst_76,0.5,60.0,60.0,60.0,60.0,60.0
inst_77,2.1060673148216584,60.0,60.0,60.0,60.0,60.0
inst_78,0.5,60.0,60.0,60.0,60.0,60.0
inst_79,0.5,60.0,60.0,60.0,60.0,60.0
inst_80,0.5,60.0,60.0,60.0,60.0,60.0
inst_81,7.280070987642281,60.0,60.0,60.0,60.0,60.0
inst_82,0.5,60.0,60.0,60.0,60.0,60.0
inst_83,0.5,60.0,60.0,60.0,60.0,60.0
inst_84,0.5,60.0,60.0,60.0,60.0,60.0
inst_85,0.5,60.0,60.0,60.0,60.0,60.0
inst_86,0.5,60.0,60.0,60.0,60.0,60.0
inst_87,60.0,60.0,60.0,1.1557335268324933,56.10487100455119,60.0
inst_88,0.5,60.0,60.0,60.0,60.0,60.0
inst_89,0.5,60.0,60.0,60.0,60.0,60.0
inst_90,0.5,60.0,60.0,60.0,60.0,60.0
inst_91,0.5,60.0,60.0,60.0,60.0,60.0
inst_92,0.5,60.0,60.0,60.0,60.0,60.0
inst_93,0.5,60.0,60.0,60.0,60.0,60.0
inst_94,60.0,60.0,1.8829253412593365,60.0,60.0,60.0
inst_95,0.5,60.0,60.0,60.0,60.0,60.0
inst_96,0.5,60.0,60.0,60.0,60.0,60.0
inst_97,0.5,60.0,60.0,60.0,60.0,60.0
inst_98,0.5,60.0,60.0,60.0,60.0,60.0
inst_99,60.0,60.0,60.0,60.0,60.0,2.170218434123497
inst_100,60.0,60.0,60.0,60.0,60.0,0.3762806166758245
inst_101,0.5,60.0,60.0,60.0,60.0,60.0
inst_102,0.5,60.0,60.0,60.0,60.0,60.0
inst_103,0.5,60.0,60.0,0.15499118087910535,60.0,60.0
inst_104,0.5,2.983274392922859,60.0,60.0,60.0,60.0
inst_105,0.5,60.0,60.0,60.0,60.0,60.0
inst_106,0.5,60.0,60.0,60.0,60.0,60.0
inst_107,0.5,60.0,60.0,60.0,60.0,60.0
inst_108,0.5,60.0,60.0,60.0,60.0,60.0
inst_109,0.5,60.0,60.0,60.0,60.0,60.0
inst_110,4.769306086369394,60.0,60.0,60.0,60.0,60.0
inst_111,0.5,60.0,60.0,60.0,60.0,60.0
inst_112,0.5,60.0,60.0,60.0,60.0,60.0
inst_113,0.5,60.0,60.0,60.0,60.0,60.0
inst_114,0.5,60.0,60.0,60.0,60.0,60.0
inst_115,13.568683293725638,60.0,60.0,60.0,60.0,60.0
inst_116,0.5,60.0,60.0,60.0,60.0,60.0
inst_117,0.5,60.0,60.0,60.0,60.0,60.0
inst_118,0.5,60.0,60.0,60.0,60.0,60.0
inst_119,0.5,60.0,60.0,60.0,60.0,60.0
inst_120,0.5,60.0,60.0,60.0,60.0,60.0
inst_121,0.5,60.0,60.0,60.0,60.0,60.0
inst_122,0.5,60.0,60.0,60.0,60.0,60.0
inst_123,0.5,60.0,60.0,60.0,60.0,60.0
inst_124,0.5,60.0,60.0,60.0,60.0,60.0
inst_125,0.5,60.0,60.0,60.0,60.0,60.0
inst_126,0.5,60.0,60.0,60.0,60.0,60.0
inst_127,25.169850271628825,60.0,60.0,60.0,60.0,60.0
inst_128,0.5,60.0,60.0,60.0,49.90287818999887,60.0
inst_129,0.5,60.0,60.0,60.0,60.0,60.0
inst_130,4.080725719857072,60.0,60.0,60.0,60.0,60.0
inst_131,0.5,60.0,60.0,60.0,60.0,60.0
inst_132,0.5,60.0,60.0,60.0,60.0,60.0
inst_133,0.9782980326088527,60.0,60.0,60.0,60.0,60.0
inst_134,12.357695989757435,60.0,60.0,60.0,60.0,60.0
inst_135,0.5,60.0,60.0,60.0,60.0,60.0
inst_136,0.5,60.0,60.0,60.0,60.0,60.0
inst_137,0.5,60.0,60.0,60.0,60.0,60.0
inst_138,0.5,60.0,60.0,60.0,60.0,60.0
inst_139,0.5,60.0,60.0,60.0,60.0,60.0
inst_140,0.5,60.0,60.0,60.0,60.0,60.0
inst_141,0.5,60.0,60.0,60.0,60.0,60.0
inst_142,0.5,60.0,60.0,60.0,60.0,60.0
inst_143,24.83876269011899,60.0,60.0,60.0,60.0,60.0
inst_144,0.5,60.0,60.0,60.0,60.0,60.0
inst_145,6.961358630059252,60.0,60.0,60.0,60.0,60.0
inst_146,0.5,60.0,60.0,60.0,60.0,0.7365486293008779
inst_147,0.5,60.0,60.0,60.0,60.0,60.0
inst_148,0.5,60.0,60.0,60.0,50.80050833495138,60.0
inst_149,8.98910098563303,60.0,60.0,60.0,60.0,60.0
inst_150,0.5,60.0,60.0,60.0,60.0,60.0
inst_151,4.993726917785645,60.0,60.0,60.0,60.0,60.0
inst_152,4.202322921666831,60.0,60.0,60.0,60.0,60.0
inst_153,0.5,60.0,60.0,60.0,60.0,60.0
inst_154,0.5,60.0,60.0,60.0,60.0,60.0
inst_155,0.5,60.0,60.0,60.0,60.0,60.0
inst_156,3.139451870582671,60.0,60.0,60.0,60.0,60.0
inst_157,0.5,60.0,60.0,60.0,60.0,60.0
inst_158,0.5,60.0,60.0,60.0,60.0,60.0
inst_159,0.5,60.0,60.0,60.0,60.0,60.0
inst_160,14.836018043823296,60.0,60.0,60.0,60.0,60.0
